kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag,rho_p,Pmin_day,planet_type,is_habitable
6606438,K02860.01,2,1.0,103.4269873,3.16,416.0,7.08,6208.0,1.024,4.454,15.549,1.6,0.4150489428970998,neptune_like,False
9149789,K02874.01,1,0.989,0.352515897,1.0,2194.0,5534.14,5465.0,0.766,4.598,14.867,5.5,0.22386075217339096,rocky,False
5773121,K04002.01,2,1.0,0.524175803,1.27,1891.0,3049.23,5278.0,0.815,4.576,15.04,5.5,0.22386075217339096,rocky,False
4814502,K04004.01,2,1.0,4.94330596,1.41,1058.0,296.74,5661.0,1.008,4.415,12.697,5.5,0.22386075217339096,rocky,False
8142787,K04005.01,2,0.997,178.139072,2.25,291.0,1.7,5431.0,0.879,4.496,14.56,3.0,0.30310889132455354,intermediate,False
11075429,K02198.01,2,0.991,23.9210408,3.01,1020.0,255.65,7121.0,1.972,4.031,12.768,1.6,0.4150489428970998,neptune_like,False
11705004,K02199.01,2,0.993,9.03326435,1.96,729.0,66.89,5311.0,0.788,4.588,15.901,3.0,0.30310889132455354,intermediate,False
11244682,K03933.01,2,1.0,3.490785878,1.32,1010.0,245.65,5496.0,0.725,4.618,14.678,5.5,0.22386075217339096,rocky,False
5895158,K03935.01,2,1.0,1.093665854,1.29,1681.0,1880.33,5845.0,0.874,4.541,14.815,5.5,0.22386075217339096,rocky,False
4173026,K02172.02,2,0.991,116.583183,2.91,371.0,4.47,5738.0,0.981,4.426,15.104,3.0,0.30310889132455354,intermediate,False
8934103,K04009.01,2,0.997,175.13892,3.06,346.0,3.39,5497.0,1.241,4.243,15.245,1.6,0.4150489428970998,neptune_like,False
4947556,K03936.02,2,0.91,13.0267964,2.08,643.0,40.51,5083.0,0.844,4.512,13.336,3.0,0.30310889132455354,intermediate,False
7300182,K07833.01,1,0.923,172.820248,2.22,338.0,3.08,6174.0,0.939,4.499,14.321,3.0,0.30310889132455354,intermediate,False
9009953,K04014.01,2,0.982,234.240739,3.41,329.0,2.77,5814.0,1.248,4.269,13.685,1.6,0.4150489428970998,neptune_like,False
9904006,K02135.02,1,1.0,20.1890396,1.39,794.0,93.89,6178.0,1.267,4.269,13.573,5.5,0.22386075217339096,rocky,False
7679812,K03943.01,2,0.974,38.5763483,2.05,619.0,34.77,6167.0,1.221,4.333,12.626,3.0,0.30310889132455354,intermediate,False
7366501,K07834.01,1,0.802,7.3812344,1.0,944.0,187.24,6072.0,0.923,4.51,15.051,5.5,0.22386075217339096,rocky,False
8282846,K04015.01,2,1.0,133.303247,2.67,301.0,1.94,5064.0,0.864,4.474,15.307,3.0,0.30310889132455354,intermediate,False
5938970,K04016.01,2,1.0,125.4132302,3.14,266.0,1.18,4641.0,0.747,4.557,14.073,1.6,0.4150489428970998,neptune_like,False
7375348,K00266.01,2,1.0,25.30893566,1.77,710.0,60.2,5949.0,1.292,4.272,11.472,3.0,0.30310889132455354,intermediate,False
8636434,K03946.01,2,0.988,308.544422,3.28,330.0,2.81,6325.0,1.349,4.274,13.215,1.6,0.4150489428970998,neptune_like,False
9425139,K01411.01,1,0.995,305.0762469,7.82,284.0,1.53,5716.0,1.155,4.348,13.377,1.0,0.525,gas_giant,False
7810483,K01943.01,2,0.994,29.92208104,3.09,782.0,88.52,6127.0,1.637,4.055,13.377,1.6,0.4150489428970998,neptune_like,False
9904006,K02135.03,2,0.999,8.48651582,1.34,1060.0,298.03,6178.0,1.267,4.269,13.573,5.5,0.22386075217339096,rocky,False
7367164,K07835.01,1,0.825,3.76565247,0.87,1108.0,356.3,5815.0,0.877,4.54,14.688,5.5,0.22386075217339096,rocky,False
7671950,K07846.01,1,0.939,10.5994606,1.28,896.0,152.67,6194.0,1.069,4.445,15.284,5.5,0.22386075217339096,rocky,False
6342333,K02065.01,2,0.968,80.2321467,3.24,380.0,4.91,5436.0,0.888,4.505,14.32,1.6,0.4150489428970998,neptune_like,False
10404582,K02147.02,2,0.854,10.32736351,1.25,838.0,116.56,5757.0,1.017,4.431,14.5,5.5,0.22386075217339096,rocky,False
4570949,K01658.01,2,1.0,1.544928892,13.43,1997.0,3765.46,6309.0,1.412,4.199,13.308,1.0,0.525,gas_giant,False
11518201,K03104.01,1,0.981,1.236866732,1.75,1569.0,1439.3,5621.0,0.879,4.514,15.388,3.0,0.30310889132455354,intermediate,False
11497958,K01422.05,2,0.984,34.1420506,1.06,248.0,0.89,3526.0,0.383,4.866,15.921,5.5,0.22386075217339096,rocky,True
9758032,K03137.01,1,1.0,1.332035996,0.85,1365.0,823.09,5376.0,0.73,4.616,15.682,5.5,0.22386075217339096,rocky,False
6444896,K03138.01,2,1.0,8.68910764,0.49,211.0,0.47,2703.0,0.118,5.274,17.131,5.5,0.22386075217339096,rocky,True
11442793,K00351.05,2,0.999,8.71980135,1.53,987.0,224.47,5970.0,1.2,4.317,13.804,5.5,0.22386075217339096,rocky,False
11442793,K00351.06,2,0.916,7.00821787,1.29,1062.0,300.58,5970.0,1.2,4.317,13.804,5.5,0.22386075217339096,rocky,False
6974658,K02925.01,1,0.999,0.716531851,1.11,2034.0,4063.57,5552.0,1.03,4.349,13.458,5.5,0.22386075217339096,rocky,False
9634821,K02037.02,1,1.0,5.47715718,2.17,892.0,149.23,5029.0,0.93,4.429,15.213,3.0,0.30310889132455354,intermediate,False
9602613,K02612.02,1,0.952,7.57299816,0.53,875.0,138.36,5495.0,0.961,4.442,11.83,5.5,0.22386075217339096,rocky,False
9758089,K01871.02,2,1.0,32.376183,2.26,392.0,5.61,4580.0,0.675,4.641,14.897,3.0,0.30310889132455354,intermediate,False
10005758,K01783.02,2,0.991,284.063137,6.36,321.0,2.51,5791.0,1.336,4.185,13.929,1.0,0.525,gas_giant,False
10904004,K02957.01,1,0.908,4.64490141,0.76,832.0,113.62,4786.0,0.77,4.54,14.48,5.5,0.22386075217339096,rocky,False
12405333,K03009.01,2,0.986,0.764863517,1.04,1733.0,2145.14,5231.0,0.86,4.476,15.168,5.5,0.22386075217339096,rocky,False
2715695,K03077.01,2,1.0,4.09578199,1.64,851.0,124.3,4791.0,0.742,4.577,15.958,3.0,0.30310889132455354,intermediate,False
11442793,K00351.04,2,0.971,91.9401253,2.62,450.0,9.71,5970.0,1.2,4.317,13.804,3.0,0.30310889132455354,intermediate,False
